الكود	اسم الحساب	كود مركز التكلفة 	تصنيف الحساب	قائمة العرض
1231	مخازن الصيدلية	—	الأصول	قائمة المركز المالي
12311	مخزن رئيسي ادوية	CC-9000	الأصول	قائمة المركز المالي
12312	مخزن صيدلية خارجية (د/ حسني)	CC-3900	الأصول	قائمة المركز المالي
12313	مخزن صيدلية داخلية (الثامن)	CC-3800	الأصول	قائمة المركز المالي
12314	مخزن التالف	CC-9000	الأصول	قائمة المركز المالي
12315	مخزن الاكسبير (منتهي الصلاحية)	CC-9000	الأصول	قائمة المركز المالي
12316	مخزن خاص د/ حسني	CC-3900	الأصول	قائمة المركز المالي
12317	مخزن خاص حضانة	CC-3400	الأصول	قائمة المركز المالي
12318	مخزن رئيسي مستلزمات	CC-9000	الأصول	قائمة المركز المالي
1232	مخزن العمليات (ادوية + مستلزمات)	CC-3100	الأصول	قائمة المركز المالي
12321	مخزن العمليات 	CC-3100	الأصول	قائمة المركز المالي
1233	مخزن العناية (ادوية + مستلزمات)	CC-3200	الأصول	قائمة المركز المالي
12331	مخزن العناية	CC-3200	الأصول	قائمة المركز المالي
12333	مخزن العناية – مستهلكات عامة	CC-3200	الأصول	قائمة المركز المالي
1234	مخزن الاقامات	CC-3400	الأصول	قائمة المركز المالي
12341	مخزن اقامة – مستلزمات	CC-3400	الأصول	قائمة المركز المالي
12342	مخزن اقامة – مستهلكات عامة	CC-3400	الأصول	قائمة المركز المالي
1235	مخزن المختبر	CC-3500	الأصول	قائمة المركز المالي
1236	مخازن التعقيم	—	الأصول	قائمة المركز المالي
12361	مخزن تعقيم (خام)	CC-4100	الأصول	قائمة المركز المالي
12362	مخزن انتاج تحت التشغيل (تعقيم)	CC-4100	الأصول	قائمة المركز المالي
1237	مخزن رئيسي عام / اخرى	CC-9000	الأصول	قائمة المركز المالي
12371	تحويلات مخازن جارية	CC-9000	الأصول	قائمة المركز المالي
1238	مخزن الغازات الطبية	CC-9000	الأصول	قائمة المركز المالي
1239	مخصص هبوط اسعار المخزون	—	حساب مقابل (أصول)	قائمة المركز المالي
124	ارصدة مدينة اخرى	—	الأصول	قائمة المركز المالي
1241	عهد تحت التسوية	CC-5200	الأصول	قائمة المركز المالي
1242	مصاريف مدفوعة مقدمًا	CC-5000	الأصول	قائمة المركز المالي
1243	ايجارات مدفوعة مقدمًا	CC-5000	الأصول	قائمة المركز المالي
1244	تامينات مستردة	CC-5000	الأصول	قائمة المركز المالي
1245	ارصدة مدينة اخرى متنوعة	—	الأصول	قائمة المركز المالي
12451	مستحقات مشاركة جهاز الرنين	CC-3670	الأصول	قائمة المركز المالي
12452	مستحقات جهاز الاشعة العادية	CC-3650	الأصول	قائمة المركز المالي
12453	مستحقات جهاز وحدة المراة	CC-3800	الأصول	قائمة المركز المالي
12454	مستحقات جهاز الاشعة المقطعية	CC-3660	الأصول	قائمة المركز المالي
12455	مستحقات جهاز الاشعة السونار	CC-3700	الأصول	قائمة المركز المالي
12456	مستحقات جهاز الاشعة الايكو	CC-3700	الأصول	قائمة المركز المالي
125	شيكات واردة	—	الأصول	قائمة المركز المالي
126	ضريبة قيمة مضافة	—	الأصول	قائمة المركز المالي
1261	ضريبة قيمة مضافة – مدخلات (مشتريات)	—	الأصول	قائمة المركز المالي
127	ضرائب مقدمة	—	الأصول	قائمة المركز المالي
1271	ضريبة دخل مدفوعة مقدمًا	—	الأصول	قائمة المركز المالي
1272	ضرائب خصم واضافة تحت التسوية	—	الأصول	قائمة المركز المالي
129	حسابات مستقبلية (Placeholder)	—	الأصول	قائمة المركز المالي
2	الخصوم (الالتزامات)	—	الخصوم	قائمة المركز المالي
21	الخصوم المتداولة	—	الخصوم	قائمة المركز المالي
211	موردون	—	الخصوم	قائمة المركز المالي
2111	موردون صيدلية (تشمل عمليات + عناية)	—	الخصوم	قائمة المركز المالي
21111	موردين ادوية صيدلية	CC-3800 / CC-3900	الخصوم	قائمة المركز المالي
21112	موردين مستلزمات صيدلية	CC-3800 / CC-3900	الخصوم	قائمة المركز المالي
21113	موردين توريدات للعمليات (مدمجة مع الصيدلية)	CC-3100	الخصوم	قائمة المركز المالي
21114	موردين توريدات للعناية (مدمجة مع الصيدلية)	CC-3200	الخصوم	قائمة المركز المالي
21115	مرتجع مشتريات – تحت التسوية	—	الخصوم	قائمة المركز المالي
2112	موردون مختبر	—	الخصوم	قائمة المركز المالي
21121	موردين اجهزة مختبر	CC-3500	الخصوم	قائمة المركز المالي
21122	موردين مستلزمات مختبر	CC-3500	الخصوم	قائمة المركز المالي
2113	موردون اصول ثابتة	—	الخصوم	قائمة المركز المالي
21131	موردين معدات طبية	—	الخصوم	قائمة المركز المالي
21132	موردين معدات غير طبية	—	الخصوم	قائمة المركز المالي
21133	مستحقات الملاك مقابل بيع اصل عقاري	—	الخصوم	قائمة المركز المالي
211331	مستحقات مالك 1 (د/ محمد نجيب)	—	الخصوم	قائمة المركز المالي
211332	مستحقات مالك 2 (الحج فتحي)	—	الخصوم	قائمة المركز المالي
211333	مستحقات مالك 3 (د/ حسن)	—	الخصوم	قائمة المركز المالي
2114	موردون خدمات	CC-5000	الخصوم	قائمة المركز المالي
2115	موردون خامات	CC-9000	الخصوم	قائمة المركز المالي
2116	دفعات مقدمة من مرضى	CC-3100 / CC-3200 / CC-3400 / CC-3950	الخصوم	قائمة المركز المالي
21161	دفعات زائدة من مرضى	CC-3100 / CC-3200 / CC-3400 / CC-3950	الخصوم	قائمة المركز المالي
21162	دفعات مقدمة – تحت التسوية	CC-3100 / CC-3200 / CC-3400 / CC-3950	الخصوم	قائمة المركز المالي
2117	ضريبة قيمة مضافة – مخرجات (مبيعات)	—	الخصوم	قائمة المركز المالي
2118	دمغة طبية	—	الخصوم	قائمة المركز المالي
2119	حسابات مستقبلية (Placeholder)	—	الخصوم	قائمة المركز المالي
212	مصروفات وتكاليف مستحقة	—	الخصوم	قائمة المركز المالي
21211	كهرباء مستحقة	—	الخصوم	قائمة المركز المالي
21212	مرتبات واجور مستحقة	—	الخصوم	قائمة المركز المالي
21213	تامينات اجتماعية مستحقة	—	الخصوم	قائمة المركز المالي
21214	ضرائب اخرى مستحقة	—	الخصوم	قائمة المركز المالي
21215	مصاريف صيانة مستحقة	—	الخصوم	قائمة المركز المالي
21216	مكافات وبونص مستحقة		الخصوم	قائمة المركز المالي
3	حقوق الملكية	—	حقوق الملكية	قائمة المركز المالي
31	حقوق الملكية الفرعية	—	حقوق الملكية	قائمة المركز المالي
311	راس المال	—	حقوق الملكية	قائمة المركز المالي
312	ارباح وخسائر مرحلة	—	حقوق الملكية	قائمة المركز المالي
3121	ارباح مرحلة قابلة للتوزيع	—	حقوق الملكية	قائمة المركز المالي
3122	ارباح مرحلة محتجزة	—	حقوق الملكية	قائمة المركز المالي
313	احتياطي نظامي	—	حقوق الملكية	قائمة المركز المالي
314	توزيعات ارباح	—	حقوق الملكية	قائمة المركز المالي
3141	توزيعات ارباح اجمالية معلنة	—	حقوق الملكية	قائمة المركز المالي
3142	توزيعات ارباح حسب الشركاء	—	حقوق الملكية	قائمة المركز المالي
31421	توزيعات ارباح شريك 1	—	حقوق الملكية	قائمة المركز المالي
31422	توزيعات ارباح شريك 2	—	حقوق الملكية	قائمة المركز المالي
31423	توزيعات ارباح شريك 3	—	حقوق الملكية	قائمة المركز المالي
31424	توزيعات ارباح اقلية	—	حقوق الملكية	قائمة المركز المالي
315	مسحوبات الشركاء	—	حقوق الملكية	قائمة المركز المالي
3151	مسحوبات شريك 1	—	حقوق الملكية	قائمة المركز المالي
3152	مسحوبات شريك 2	—	حقوق الملكية	قائمة المركز المالي
3153	مسحوبات شريك 3	—	حقوق الملكية	قائمة المركز المالي
316	احتياطي طوارئ	—	حقوق الملكية	قائمة المركز المالي
317	فائض اعادة تقييم الاصول	—	حقوق الملكية	قائمة المركز المالي
318	احتياطيات اخرى	—	حقوق الملكية	قائمة المركز المالي
3181	احتياطي توسعات مستقبلية	—	حقوق الملكية	قائمة المركز المالي
3182	احتياطي ابحاث وتطوير	—	حقوق الملكية	قائمة المركز المالي
3189	Placeholder (احتياطي جديد)	—	حقوق الملكية	قائمة المركز المالي
319	حسابات ختامية وتسويات	—	حقوق الملكية	قائمة المركز المالي
3191	ملخص الدخل	—	حقوق الملكية	قائمة المركز المالي
3192	تسويات فروق عملة / اندماجات	—	حقوق الملكية	قائمة المركز المالي
320	حسابات مستقبلية (Placeholder)	—	حقوق الملكية	قائمة المركز المالي
321	حقوق اقلية	—	حقوق الملكية	قائمة المركز المالي
4	الايرادات	—	الإيرادات	قائمة الدخل
41	ايرادات المبيعات والخدمات	—	الإيرادات	قائمة الدخل
411	ايراد مركز العمليات	CC-3100	الإيرادات	قائمة الدخل
4111	ايراد ادوية العمليات	CC-3100	الإيرادات	قائمة الدخل
4112	ايراد مستلزمات العمليات	CC-3100	الإيرادات	قائمة الدخل
4113	ايراد خدمات ادارية	CC-3100	الإيرادات	قائمة الدخل
4114	ايراد استخدام اجهزة العمليات	CC-3100	الإيرادات	قائمة الدخل
4115	ايراد غازات طبية للعمليات	CC-3100	الإيرادات	قائمة الدخل
4117	ايراد خدمات تمريضية العمليات	CC-3100	الإيرادات	قائمة الدخل
4118	ايراد فتح عمليات	CC-3100	الإيرادات	قائمة الدخل
412	ايراد مركز العناية المركزة	CC-3200	الإيرادات	قائمة الدخل
4121	ايراد ادوية العناية	CC-3200	الإيرادات	قائمة الدخل
4122	ايراد مستلزمات العناية	CC-3200	الإيرادات	قائمة الدخل
4123	ايراد خدمات طبية ايكو بالعناية	CC-3200	الإيرادات	قائمة الدخل
4124	ايراد استخدام اجهزة العناية	CC-3200	الإيرادات	قائمة الدخل
4125	ايراد غازات طبية بالعناية	CC-3200	الإيرادات	قائمة الدخل
4126	ايراد اقامة العناية	CC-3200	الإيرادات	قائمة الدخل
4127	ايراد خدمات طبية اشعة (طيبة) بالعناية	CC-3200	الإيرادات	قائمة الدخل
4128	ايراد خدمات العناية	CC-3200	الإيرادات	قائمة الدخل
4129	ايرادات مستقبلية (Placeholder)	CC-3200	الإيرادات	قائمة الدخل
413	ايراد مركز صيدلية خارجي	CC-3900	الإيرادات	قائمة الدخل
4131	ايراد ادوية ومستلزمات صيدلية خارجي	CC-3900	الإيرادات	قائمة الدخل
414	ايراد مركز صيدلية داخلي	CC-3800	الإيرادات	قائمة الدخل
4141	ايراد ادوية ومستلزمات صيدلية داخلي	CC-3800	الإيرادات	قائمة الدخل
415	ايراد العيادات الخارجية	CC-3950	الإيرادات	قائمة الدخل
4151	ايراد قسم العظام	CC-3950	الإيرادات	قائمة الدخل
4152	ايراد قسم انف واذن	CC-3950	الإيرادات	قائمة الدخل
4153	ايراد قسم التجميل	CC-3950	الإيرادات	قائمة الدخل
4154	ايراد قسم الباطنة	CC-3950	الإيرادات	قائمة الدخل
4155	ايراد قسم المخ والاعصاب	CC-3950	الإيرادات	قائمة الدخل
4156	ايراد قسم الاورام	CC-3950	الإيرادات	قائمة الدخل
416	ايرادات متنوعة	—	الإيرادات	قائمة الدخل
4161	ايراد مركز البوفيه	CC-4210	الإيرادات	قائمة الدخل
4162	ايراد مركز المطبخ والمطعم	CC-4210	الإيرادات	قائمة الدخل
4163	ايرادات جزاءات وعقوبات	CC-5000	الإيرادات	قائمة الدخل
4165	ايراد ايجارات العيادات الخارجية	CC-5100	الإيرادات	قائمة الدخل
41651	ايجار عيادة مخ واعصاب	CC-5100	الإيرادات	قائمة الدخل
41652	ايجار عيادة انف واذن	CC-5100	الإيرادات	قائمة الدخل
41653	ايجار عيادة تجميل	CC-5100	الإيرادات	قائمة الدخل
41654	ايجار عيادة باطنة	CC-5100	الإيرادات	قائمة الدخل
41655	ايجار عيادة صدرية	CC-5100	الإيرادات	قائمة الدخل
4167	فروق دمغات	CC-5000	الإيرادات	قائمة الدخل
4168	ايرادات فروق خصم منبع	CC-5000	الإيرادات	قائمة الدخل
4169	ايراد مشاركة تشغيل اجهزة الاشعة	—	الإيرادات	قائمة الدخل
41691	ايراد مشاركة تشغيل جهاز رنين MRI	CC-3670	الإيرادات	قائمة الدخل
41692	ايراد مشاركة تشغيل جهاز مقطعية CT	CC-3660	الإيرادات	قائمة الدخل
41693	ايراد مشاركة تشغيل جهاز اشعة عادية X-Ray	CC-3650	الإيرادات	قائمة الدخل
41694	ايراد مشاركة تشغيل وحدة المراة (سونار)	CC-3800	الإيرادات	قائمة الدخل
41695	ايراد مشاركة تشغيل جهاز ايكو Echo	CC-3700	الإيرادات	قائمة الدخل
417	ايراد خدمات تمريضية	—	الإيرادات	قائمة الدخل
4171	ايرادات خدمات تمريضية بسيطة	CC-3100 / CC-3200 / CC-3400 / CC-3950	الإيرادات	قائمة الدخل
418	ايراد المختبر	CC-3500	الإيرادات	قائمة الدخل
4181	ايراد خدمات المختبر العامة	CC-3500	الإيرادات	قائمة الدخل
4182	ايراد تحاليل مختبر	CC-3500	الإيرادات	قائمة الدخل
419	ايراد الاقامات	CC-3400	الإيرادات	قائمة الدخل
4191	ايراد اقامة جناح مميز	CC-3400	الإيرادات	قائمة الدخل
4192	ايراد اقامة درجة اولى	CC-3400	الإيرادات	قائمة الدخل
4193	ايراد اقامة درجة ثانية	CC-3400	الإيرادات	قائمة الدخل
4194	ايراد اقامة عنبر	CC-3400	الإيرادات	قائمة الدخل
4195	ايراد اقامة افاقة	CC-3400	الإيرادات	قائمة الدخل
4196	رسوم تذاكر دخول (مرتبطة بالاقامة)	CC-3400	الإيرادات	قائمة الدخل
420	ايراد التعقيم	CC-4100	الإيرادات	قائمة الدخل
4201	ايراد تعقيم لطرف خارجي	CC-4100	الإيرادات	قائمة الدخل
421	مخفضات الايراد (Contra-Revenue)	—	مخفضات إيرادات	قائمة الدخل
4211	خصم مسموح به (عام)	—	مخفضات إيرادات	قائمة الدخل
4212	خصومات تعاقدية مع شركات التامين	—	مخفضات إيرادات	قائمة الدخل
4213	رفض مطالبات التامين (Denials)	—	مخفضات إيرادات	قائمة الدخل
4214	خصم مسموح به العمليات	CC-3100	مخفضات إيرادات	قائمة الدخل
4215	خصم مسموح به داخلي – العناية	CC-3200	مخفضات إيرادات	قائمة الدخل
4216	خصم مسموح به داخلي – الحضانة / الاقامات	CC-3400	مخفضات إيرادات	قائمة الدخل
4217	خصم مسموح به المختبر	CC-3500	مخفضات إيرادات	قائمة الدخل
4218	خصم مسموح به صيدلية خارجية	CC-3900	مخفضات إيرادات	قائمة الدخل
4219	خصم مسموح به صيدلية داخلية	CC-3800	مخفضات إيرادات	قائمة الدخل
422	ايرادات خصومات مشتريات مكتسبة	—	الإيرادات	قائمة الدخل
4221	خصم مكتسب على الفاتورة	CC-5000	الإيرادات	قائمة الدخل
4222	خصم نقدي اضافي على المطالبة	CC-5000	الإيرادات	قائمة الدخل
4223	خصم على اجمالي المطالبة	CC-5000	الإيرادات	قائمة الدخل
4224	خصم تعجيل دفع على المطالبة	CC-5000	الإيرادات	قائمة الدخل
423	ايرادات مستقبلية (Placeholder عام)	—	الإيرادات	قائمة الدخل
424	الايراد الداخلي	—	الإيرادات	قائمة الدخل
4241	ايراد داخلي مجمع	—	الإيرادات	قائمة الدخل
429	ايرادات مستقبلية (Placeholder عام)	—	الإيرادات	قائمة الدخل
5	المصروفات	—	المصروفات	قائمة الدخل
51	تكاليف مباشرة	—	المصروفات	قائمة الدخل
511	تكلفة صيدلية داخلي (الثامن)	CC-3800	المصروفات	قائمة الدخل
5111	تكلفة ادوية ومستلزمات مباعة صيدلية داخلي	CC-3800	المصروفات	قائمة الدخل
5113	تكلفة مستهلكات مباعة صيدلية داخلي	CC-3800	المصروفات	قائمة الدخل
512	تكلفة صيدلية خارجية (د/ حسني)	CC-3900	المصروفات	قائمة الدخل
5121	تكلفة ادوية ومستلزمات مباعة صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
5123	تكلفة مستهلكات مباعة صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
513	تكلفة العمليات	CC-3100	المصروفات	قائمة الدخل
5131	تكلفة ادوية عمليات	CC-3100	المصروفات	قائمة الدخل
5132	تكلفة مستلزمات عمليات	CC-3100	المصروفات	قائمة الدخل
5133	تكلفة مستهلكات عمليات	CC-3100	المصروفات	قائمة الدخل
5135	تكلفة صيانة / تشغيل اجهزة العمليات	CC-3100	المصروفات	قائمة الدخل
514	تكلفة العناية المركزة	CC-3200	المصروفات	قائمة الدخل
5141	تكلفة ادوية عناية	CC-3200	المصروفات	قائمة الدخل
